"Pre-campaign expenditure";"Pre-campaign visits";"Total number of visits";"Total spend";"52 Mosaic Groups";"Mosaic Bands";"Year Of Birth";"Age";"Response to campaign"
61.0;2.0;2.0;61.0;5.0;1.0;1965.0;29.0;"Non-responder"
54.0;1.0;1.0;54.0;3.0;1.0;1965.0;29.0;"Non-responder"
72.0;3.0;3.0;72.0;13.0;4.0;1965.0;29.0;"Non-responder"
65.0;2.0;2.0;65.0;12.0;3.0;1965.0;29.0;"Non-responder"
63.0;3.0;3.0;63.0;1.0;1.0;1965.0;29.0;"Non-responder"
119.0;4.0;4.0;119.0;44.0;10.0;1965.0;29.0;"Non-responder"
75.0;1.0;1.0;75.0;12.0;3.0;1965.0;29.0;"Non-responder"
62.0;3.0;3.0;62.0;29.0;6.0;1965.0;29.0;"Non-responder"
69.0;1.0;1.0;69.0;7.0;2.0;1965.0;29.0;"Non-responder"
69.0;7.0;7.0;69.0;36.0;8.0;1965.0;29.0;"Non-responder"
93.0;1.0;1.0;93.0;29.0;6.0;1965.0;29.0;"Non-responder"
75.0;1.0;1.0;75.0;26.0;6.0;1965.0;29.0;"Non-responder"
60.0;2.0;2.0;60.0;31.0;7.0;1965.0;29.0;"Non-responder"
70.0;1.0;1.0;70.0;11.0;3.0;1965.0;29.0;"Non-responder"
146.0;12.0;16.0;235.0;13.0;4.0;1964.0;30.0;"Responder"
57.0;4.0;5.0;74.0;6.0;2.0;1964.0;30.0;"Responder"
64.0;3.0;4.0;87.0;50.0;11.0;1964.0;30.0;"Responder"
76.0;2.0;5.0;102.0;2.0;1.0;1964.0;30.0;"Responder"
6.0;1.0;2.0;33.0;30.0;7.0;1964.0;30.0;"Responder"
99.0;8.0;14.0;160.0;10.0;3.0;1964.0;30.0;"Responder"
60.0;1.0;5.0;155.0;13.0;4.0;1964.0;30.0;"Responder"
126.0;11.0;11.0;126.0;29.0;6.0;1964.0;30.0;"Non-responder"
54.0;6.0;6.0;54.0;8.0;2.0;1964.0;30.0;"Non-responder"
94.0;1.0;1.0;94.0;13.0;4.0;1964.0;30.0;"Non-responder"
72.0;6.0;6.0;72.0;11.0;3.0;1964.0;30.0;"Non-responder"
61.0;1.0;1.0;61.0;31.0;7.0;1964.0;30.0;"Non-responder"
68.0;4.0;4.0;68.0;34.0;8.0;1964.0;30.0;"Non-responder"
54.0;1.0;1.0;54.0;7.0;2.0;1964.0;30.0;"Non-responder"
75.0;1.0;1.0;75.0;9.0;3.0;1964.0;30.0;"Non-responder"
40.0;3.0;3.0;40.0;29.0;6.0;1964.0;30.0;"Non-responder"
58.0;1.0;1.0;58.0;3.0;1.0;1964.0;30.0;"Non-responder"
56.0;1.0;1.0;56.0;24.0;6.0;1964.0;30.0;"Non-responder"
69.0;2.0;2.0;69.0;34.0;8.0;1964.0;30.0;"Non-responder"
63.0;1.0;1.0;63.0;7.0;2.0;1964.0;30.0;"Non-responder"
60.0;1.0;1.0;60.0;44.0;10.0;1964.0;30.0;"Non-responder"
88.0;3.0;3.0;88.0;43.0;10.0;1964.0;30.0;"Non-responder"
59.0;1.0;1.0;59.0;7.0;2.0;1964.0;30.0;"Non-responder"
80.0;2.0;2.0;80.0;36.0;8.0;1964.0;30.0;"Non-responder"
66.0;6.0;6.0;66.0;15.0;4.0;1964.0;30.0;"Non-responder"
82.0;4.0;4.0;82.0;20.0;5.0;1964.0;30.0;"Non-responder"
54.0;1.0;1.0;54.0;44.0;10.0;1964.0;30.0;"Non-responder"
81.0;2.0;2.0;81.0;8.0;2.0;1964.0;30.0;"Non-responder"
60.0;2.0;2.0;60.0;6.0;2.0;1964.0;30.0;"Non-responder"
367.0;28.0;37.0;468.0;9.0;3.0;1964.0;30.0;"Responder"
441.0;18.0;19.0;457.0;39.0;9.0;1964.0;30.0;"Responder"
61.0;11.0;16.0;76.0;16.0;4.0;1964.0;30.0;"Responder"
69.0;5.0;10.0;180.0;11.0;3.0;1964.0;30.0;"Responder"
72.0;9.0;12.0;105.0;29.0;6.0;1964.0;30.0;"Responder"
96.0;4.0;11.0;342.0;41.0;10.0;1964.0;30.0;"Responder"
87.0;7.0;8.0;113.0;3.0;1.0;1964.0;30.0;"Responder"
27.0;2.0;3.0;35.0;44.0;10.0;1964.0;30.0;"Responder"
71.0;5.0;11.0;139.0;12.0;3.0;1964.0;30.0;"Responder"
81.0;2.0;3.0;115.0;18.0;5.0;1964.0;30.0;"Responder"
154.0;5.0;7.0;166.0;34.0;8.0;1964.0;30.0;"Responder"
50.0;1.0;2.0;79.0;34.0;8.0;1964.0;30.0;"Responder"
70.0;9.0;9.0;70.0;44.0;10.0;1964.0;30.0;"Non-responder"
522.0;17.0;17.0;522.0;11.0;3.0;1964.0;30.0;"Non-responder"
153.0;4.0;4.0;153.0;17.0;4.0;1964.0;30.0;"Non-responder"
76.0;5.0;5.0;76.0;12.0;3.0;1964.0;30.0;"Non-responder"
64.0;1.0;1.0;64.0;2.0;1.0;1964.0;30.0;"Non-responder"
54.0;2.0;2.0;54.0;3.0;1.0;1964.0;30.0;"Non-responder"
51.0;1.0;1.0;51.0;43.0;10.0;1964.0;30.0;"Non-responder"
80.0;1.0;1.0;80.0;7.0;2.0;1964.0;30.0;"Non-responder"
60.0;1.0;1.0;60.0;15.0;4.0;1964.0;30.0;"Non-responder"
67.0;1.0;1.0;67.0;29.0;6.0;1964.0;30.0;"Non-responder"
67.0;3.0;3.0;67.0;8.0;2.0;1964.0;30.0;"Non-responder"
56.0;3.0;3.0;56.0;26.0;6.0;1964.0;30.0;"Non-responder"
64.0;2.0;2.0;64.0;30.0;7.0;1964.0;30.0;"Non-responder"
70.0;1.0;1.0;70.0;47.0;11.0;1964.0;30.0;"Non-responder"
69.0;1.0;1.0;69.0;41.0;10.0;1964.0;30.0;"Non-responder"
86.0;1.0;1.0;86.0;9.0;3.0;1964.0;30.0;"Non-responder"
59.0;5.0;5.0;59.0;11.0;3.0;1964.0;30.0;"Non-responder"
0.0;0.0;0.0;0.0;13.0;4.0;1964.0;30.0;"Non-responder"
69.0;2.0;2.0;69.0;10.0;3.0;1964.0;30.0;"Non-responder"
69.0;2.0;2.0;69.0;17.0;4.0;1964.0;30.0;"Non-responder"
57.0;3.0;3.0;57.0;8.0;2.0;1964.0;30.0;"Non-responder"
79.0;1.0;1.0;79.0;8.0;2.0;1964.0;30.0;"Non-responder"
72.0;3.0;3.0;72.0;44.0;10.0;1964.0;30.0;"Non-responder"
86.0;1.0;1.0;86.0;37.0;9.0;1964.0;30.0;"Non-responder"
79.0;2.0;2.0;79.0;31.0;7.0;1964.0;30.0;"Non-responder"
75.0;1.0;1.0;75.0;7.0;2.0;1964.0;30.0;"Non-responder"
51.0;4.0;4.0;51.0;8.0;2.0;1964.0;30.0;"Non-responder"
99.0;4.0;4.0;99.0;17.0;4.0;1964.0;30.0;"Non-responder"
61.0;1.0;1.0;61.0;39.0;9.0;1964.0;30.0;"Non-responder"
65.0;1.0;1.0;65.0;11.0;3.0;1964.0;30.0;"Non-responder"
131.0;10.0;13.0;164.0;8.0;2.0;1963.0;31.0;"Responder"
96.0;2.0;3.0;121.0;44.0;10.0;1963.0;31.0;"Responder"
61.0;1.0;5.0;142.0;30.0;7.0;1963.0;31.0;"Responder"
77.0;2.0;3.0;87.0;30.0;7.0;1963.0;31.0;"Responder"
54.0;3.0;9.0;87.0;9.0;3.0;1963.0;31.0;"Responder"
85.0;4.0;6.0;180.0;29.0;6.0;1963.0;31.0;"Responder"
265.0;12.0;12.0;265.0;43.0;10.0;1963.0;31.0;"Non-responder"
83.0;1.0;1.0;83.0;3.0;1.0;1963.0;31.0;"Non-responder"
73.0;1.0;1.0;73.0;13.0;4.0;1963.0;31.0;"Non-responder"
64.0;3.0;3.0;64.0;7.0;2.0;1963.0;31.0;"Non-responder"
78.0;6.0;6.0;78.0;15.0;4.0;1963.0;31.0;"Non-responder"
57.0;3.0;3.0;57.0;44.0;10.0;1963.0;31.0;"Non-responder"
106.0;6.0;6.0;106.0;14.0;4.0;1963.0;31.0;"Non-responder"
65.0;3.0;3.0;65.0;10.0;3.0;1963.0;31.0;"Non-responder"
97.0;5.0;5.0;97.0;9.0;3.0;1963.0;31.0;"Non-responder"
63.0;2.0;2.0;63.0;36.0;8.0;1963.0;31.0;"Non-responder"
70.0;2.0;2.0;70.0;44.0;10.0;1963.0;31.0;"Non-responder"
93.0;4.0;4.0;93.0;9.0;3.0;1963.0;31.0;"Non-responder"
85.0;5.0;5.0;85.0;44.0;10.0;1963.0;31.0;"Non-responder"
61.0;1.0;1.0;61.0;29.0;6.0;1963.0;31.0;"Non-responder"
58.0;5.0;5.0;58.0;39.0;9.0;1963.0;31.0;"Non-responder"
61.0;2.0;2.0;61.0;8.0;2.0;1963.0;31.0;"Non-responder"
58.0;2.0;2.0;58.0;24.0;6.0;1963.0;31.0;"Non-responder"
57.0;1.0;1.0;57.0;3.0;1.0;1963.0;31.0;"Non-responder"
30.0;4.0;6.0;48.0;44.0;10.0;1963.0;31.0;"Responder"
377.0;11.0;17.0;452.0;39.0;9.0;1963.0;31.0;"Responder"
90.0;4.0;5.0;96.0;7.0;2.0;1963.0;31.0;"Responder"
408.0;32.0;35.0;432.0;29.0;6.0;1963.0;31.0;"Responder"
56.0;1.0;2.0;74.0;29.0;6.0;1963.0;31.0;"Responder"
87.0;1.0;2.0;101.0;44.0;10.0;1963.0;31.0;"Responder"
94.0;6.0;8.0;100.0;2.0;1.0;1963.0;31.0;"Responder"
71.0;1.0;2.0;94.0;43.0;10.0;1963.0;31.0;"Responder"
93.0;8.0;9.0;97.0;44.0;10.0;1963.0;31.0;"Responder"
65.0;3.0;5.0;96.0;41.0;10.0;1963.0;31.0;"Responder"
67.0;5.0;7.0;107.0;41.0;10.0;1963.0;31.0;"Responder"
111.0;12.0;16.0;146.0;16.0;4.0;1963.0;31.0;"Responder"
99.0;1.0;2.0;104.0;40.0;9.0;1963.0;31.0;"Responder"
80.0;1.0;2.0;89.0;11.0;3.0;1963.0;31.0;"Responder"
96.0;1.0;2.0;109.0;8.0;2.0;1963.0;31.0;"Responder"
92.0;7.0;8.0;103.0;8.0;2.0;1963.0;31.0;"Responder"
55.0;1.0;2.0;60.0;8.0;2.0;1963.0;31.0;"Responder"
52.0;3.0;3.0;52.0;17.0;4.0;1963.0;31.0;"Non-responder"
64.0;1.0;1.0;64.0;23.0;5.0;1963.0;31.0;"Non-responder"
80.0;3.0;3.0;80.0;44.0;10.0;1963.0;31.0;"Non-responder"
80.0;9.0;9.0;80.0;17.0;4.0;1963.0;31.0;"Non-responder"
73.0;1.0;1.0;73.0;43.0;10.0;1963.0;31.0;"Non-responder"
74.0;2.0;2.0;74.0;1.0;1.0;1963.0;31.0;"Non-responder"
80.0;2.0;2.0;80.0;7.0;2.0;1963.0;31.0;"Non-responder"
83.0;6.0;6.0;83.0;44.0;10.0;1963.0;31.0;"Non-responder"
54.0;1.0;1.0;54.0;32.0;7.0;1963.0;31.0;"Non-responder"
83.0;3.0;3.0;83.0;32.0;7.0;1963.0;31.0;"Non-responder"
66.0;3.0;3.0;66.0;15.0;4.0;1963.0;31.0;"Non-responder"
86.0;1.0;1.0;86.0;5.0;1.0;1963.0;31.0;"Non-responder"
98.0;4.0;4.0;98.0;44.0;10.0;1963.0;31.0;"Non-responder"
52.0;3.0;3.0;52.0;30.0;7.0;1963.0;31.0;"Non-responder"
62.0;3.0;3.0;62.0;31.0;7.0;1963.0;31.0;"Non-responder"
61.0;2.0;2.0;61.0;31.0;7.0;1963.0;31.0;"Non-responder"
65.0;1.0;1.0;65.0;8.0;2.0;1963.0;31.0;"Non-responder"
75.0;1.0;1.0;75.0;9.0;3.0;1963.0;31.0;"Non-responder"
74.0;3.0;3.0;74.0;11.0;3.0;1963.0;31.0;"Non-responder"
72.0;1.0;1.0;72.0;1.0;1.0;1963.0;31.0;"Non-responder"
83.0;6.0;6.0;83.0;17.0;4.0;1963.0;31.0;"Non-responder"
64.0;9.0;9.0;64.0;16.0;4.0;1963.0;31.0;"Non-responder"
75.0;4.0;4.0;75.0;5.0;1.0;1963.0;31.0;"Non-responder"
63.0;1.0;1.0;63.0;43.0;10.0;1963.0;31.0;"Non-responder"
62.0;1.0;1.0;62.0;27.0;6.0;1963.0;31.0;"Non-responder"
54.0;1.0;1.0;54.0;12.0;3.0;1963.0;31.0;"Non-responder"
57.0;3.0;3.0;57.0;29.0;6.0;1963.0;31.0;"Non-responder"
82.0;1.0;1.0;82.0;41.0;10.0;1963.0;31.0;"Non-responder"
3.0;3.0;3.0;3.0;43.0;10.0;1963.0;31.0;"Non-responder"
81.0;6.0;6.0;81.0;8.0;2.0;1963.0;31.0;"Non-responder"
64.0;1.0;1.0;64.0;3.0;1.0;1963.0;31.0;"Non-responder"
86.0;1.0;1.0;86.0;31.0;7.0;1963.0;31.0;"Non-responder"
56.0;1.0;1.0;56.0;11.0;3.0;1963.0;31.0;"Non-responder"
236.0;3.0;4.0;255.0;2.0;1.0;1962.0;32.0;"Responder"
128.0;5.0;9.0;162.0;48.0;11.0;1962.0;32.0;"Responder"
66.0;2.0;3.0;83.0;14.0;4.0;1962.0;32.0;"Responder"
66.0;3.0;4.0;86.0;8.0;2.0;1962.0;32.0;"Responder"
161.0;8.0;8.0;161.0;2.0;1.0;1962.0;32.0;"Non-responder"
71.0;5.0;5.0;71.0;17.0;4.0;1962.0;32.0;"Non-responder"
92.0;5.0;5.0;92.0;8.0;2.0;1962.0;32.0;"Non-responder"
59.0;3.0;3.0;59.0;34.0;8.0;1962.0;32.0;"Non-responder"
65.0;1.0;1.0;65.0;16.0;4.0;1962.0;32.0;"Non-responder"
69.0;5.0;5.0;69.0;6.0;2.0;1962.0;32.0;"Non-responder"
53.0;1.0;1.0;53.0;13.0;4.0;1962.0;32.0;"Non-responder"
67.0;1.0;1.0;67.0;44.0;10.0;1962.0;32.0;"Non-responder"
111.0;7.0;7.0;111.0;5.0;1.0;1962.0;32.0;"Non-responder"
91.0;8.0;8.0;91.0;2.0;1.0;1962.0;32.0;"Non-responder"
61.0;3.0;3.0;61.0;6.0;2.0;1962.0;32.0;"Non-responder"
50.0;2.0;2.0;50.0;2.0;1.0;1962.0;32.0;"Non-responder"
76.0;5.0;5.0;76.0;39.0;9.0;1962.0;32.0;"Non-responder"
92.0;6.0;6.0;92.0;2.0;1.0;1962.0;32.0;"Non-responder"
69.0;1.0;1.0;69.0;18.0;5.0;1962.0;32.0;"Non-responder"
53.0;1.0;1.0;53.0;2.0;1.0;1962.0;32.0;"Non-responder"
77.0;6.0;6.0;77.0;33.0;8.0;1962.0;32.0;"Non-responder"
76.0;1.0;1.0;76.0;23.0;5.0;1962.0;32.0;"Non-responder"
50.0;3.0;3.0;50.0;10.0;3.0;1962.0;32.0;"Non-responder"
45.0;3.0;3.0;45.0;8.0;2.0;1962.0;32.0;"Non-responder"
88.0;3.0;7.0;125.0;31.0;7.0;1962.0;32.0;"Responder"
63.0;7.0;9.0;70.0;44.0;10.0;1962.0;32.0;"Responder"
56.0;4.0;6.0;67.0;10.0;3.0;1962.0;32.0;"Responder"
235.0;10.0;19.0;604.0;30.0;7.0;1962.0;32.0;"Responder"
86.0;6.0;7.0;98.0;12.0;3.0;1962.0;32.0;"Responder"
85.0;3.0;4.0;155.0;7.0;2.0;1962.0;32.0;"Responder"
70.0;3.0;4.0;82.0;36.0;8.0;1962.0;32.0;"Responder"
65.0;1.0;8.0;124.0;36.0;8.0;1962.0;32.0;"Responder"
68.0;5.0;6.0;88.0;12.0;3.0;1962.0;32.0;"Responder"
95.0;3.0;4.0;129.0;39.0;9.0;1962.0;32.0;"Responder"
66.0;4.0;6.0;80.0;31.0;7.0;1962.0;32.0;"Responder"
98.0;7.0;9.0;106.0;41.0;10.0;1962.0;32.0;"Responder"
89.0;3.0;5.0;105.0;24.0;6.0;1962.0;32.0;"Responder"
72.0;3.0;4.0;75.0;10.0;3.0;1962.0;32.0;"Responder"
168.0;4.0;4.0;168.0;8.0;2.0;1962.0;32.0;"Non-responder"
93.0;4.0;4.0;93.0;30.0;7.0;1962.0;32.0;"Non-responder"
83.0;3.0;3.0;83.0;27.0;6.0;1962.0;32.0;"Non-responder"
86.0;5.0;5.0;86.0;29.0;6.0;1962.0;32.0;"Non-responder"
51.0;9.0;9.0;51.0;17.0;4.0;1962.0;32.0;"Non-responder"
94.0;6.0;6.0;94.0;14.0;4.0;1962.0;32.0;"Non-responder"
31.0;5.0;5.0;31.0;7.0;2.0;1962.0;32.0;"Non-responder"
66.0;4.0;4.0;66.0;30.0;7.0;1962.0;32.0;"Non-responder"
91.0;2.0;2.0;91.0;11.0;3.0;1962.0;32.0;"Non-responder"
57.0;1.0;1.0;57.0;43.0;10.0;1962.0;32.0;"Non-responder"
56.0;1.0;1.0;56.0;9.0;3.0;1962.0;32.0;"Non-responder"
89.0;2.0;2.0;89.0;2.0;1.0;1962.0;32.0;"Non-responder"
60.0;1.0;1.0;60.0;1.0;1.0;1962.0;32.0;"Non-responder"
56.0;1.0;1.0;56.0;44.0;10.0;1962.0;32.0;"Non-responder"
81.0;1.0;1.0;81.0;3.0;1.0;1962.0;32.0;"Non-responder"
74.0;1.0;1.0;74.0;6.0;2.0;1962.0;32.0;"Non-responder"
37.0;2.0;2.0;37.0;41.0;10.0;1962.0;32.0;"Non-responder"
55.0;1.0;1.0;55.0;8.0;2.0;1962.0;32.0;"Non-responder"
76.0;3.0;3.0;76.0;32.0;7.0;1962.0;32.0;"Non-responder"
70.0;3.0;3.0;70.0;9.0;3.0;1962.0;32.0;"Non-responder"
61.0;1.0;1.0;61.0;6.0;2.0;1962.0;32.0;"Non-responder"
72.0;1.0;1.0;72.0;17.0;4.0;1962.0;32.0;"Non-responder"
74.0;7.0;7.0;74.0;29.0;6.0;1962.0;32.0;"Non-responder"
89.0;10.0;10.0;89.0;29.0;6.0;1962.0;32.0;"Non-responder"
53.0;3.0;3.0;53.0;44.0;10.0;1962.0;32.0;"Non-responder"
82.0;2.0;2.0;82.0;24.0;6.0;1962.0;32.0;"Non-responder"
70.0;2.0;2.0;70.0;1.0;1.0;1962.0;32.0;"Non-responder"
91.0;1.0;1.0;91.0;39.0;9.0;1962.0;32.0;"Non-responder"
10.0;2.0;2.0;10.0;29.0;6.0;1962.0;32.0;"Non-responder"
72.0;5.0;5.0;72.0;9.0;3.0;1962.0;32.0;"Non-responder"
90.0;4.0;4.0;90.0;6.0;2.0;1962.0;32.0;"Non-responder"
97.0;1.0;1.0;97.0;30.0;7.0;1962.0;32.0;"Non-responder"
74.0;5.0;7.0;110.0;12.0;3.0;1961.0;33.0;"Responder"
58.0;2.0;5.0;285.0;11.0;3.0;1961.0;33.0;"Responder"
66.0;9.0;10.0;82.0;2.0;1.0;1961.0;33.0;"Responder"
119.0;7.0;10.0;144.0;7.0;2.0;1961.0;33.0;"Responder"
57.0;5.0;8.0;112.0;11.0;3.0;1961.0;33.0;"Responder"
112.0;4.0;5.0;129.0;44.0;10.0;1961.0;33.0;"Responder"
75.0;3.0;4.0;80.0;7.0;2.0;1961.0;33.0;"Responder"
83.0;2.0;4.0;122.0;31.0;7.0;1961.0;33.0;"Responder"
92.0;1.0;1.0;92.0;20.0;5.0;1961.0;33.0;"Non-responder"
108.0;8.0;8.0;108.0;39.0;9.0;1961.0;33.0;"Non-responder"
55.0;1.0;1.0;55.0;20.0;5.0;1961.0;33.0;"Non-responder"
0.0;0.0;0.0;0.0;17.0;4.0;1961.0;33.0;"Non-responder"
55.0;4.0;4.0;55.0;31.0;7.0;1961.0;33.0;"Non-responder"
75.0;2.0;2.0;75.0;7.0;2.0;1961.0;33.0;"Non-responder"
70.0;2.0;2.0;70.0;30.0;7.0;1961.0;33.0;"Non-responder"
57.0;2.0;2.0;57.0;33.0;8.0;1961.0;33.0;"Non-responder"
87.0;4.0;4.0;87.0;30.0;7.0;1961.0;33.0;"Non-responder"
58.0;5.0;5.0;58.0;17.0;4.0;1961.0;33.0;"Non-responder"
89.0;2.0;2.0;89.0;15.0;4.0;1961.0;33.0;"Non-responder"
93.0;2.0;2.0;93.0;2.0;1.0;1961.0;33.0;"Non-responder"
51.0;3.0;3.0;51.0;10.0;3.0;1961.0;33.0;"Non-responder"
57.0;2.0;2.0;57.0;44.0;10.0;1961.0;33.0;"Non-responder"
62.0;1.0;1.0;62.0;43.0;10.0;1961.0;33.0;"Non-responder"
163.0;5.0;5.0;163.0;17.0;4.0;1961.0;33.0;"Non-responder"
55.0;2.0;2.0;55.0;44.0;10.0;1961.0;33.0;"Non-responder"
148.0;11.0;15.0;167.0;8.0;2.0;1961.0;33.0;"Responder"
102.0;12.0;13.0;106.0;42.0;10.0;1961.0;33.0;"Responder"
333.0;21.0;23.0;364.0;31.0;7.0;1961.0;33.0;"Responder"
92.0;8.0;9.0;102.0;29.0;6.0;1961.0;33.0;"Responder"
75.0;9.0;11.0;75.0;7.0;2.0;1961.0;33.0;"Responder"
73.0;12.0;13.0;80.0;8.0;2.0;1961.0;33.0;"Responder"
90.0;3.0;4.0;175.0;11.0;3.0;1961.0;33.0;"Responder"
69.0;4.0;8.0;134.0;29.0;6.0;1961.0;33.0;"Responder"
59.0;2.0;4.0;118.0;12.0;3.0;1961.0;33.0;"Responder"
82.0;5.0;12.0;171.0;44.0;10.0;1961.0;33.0;"Responder"
72.0;4.0;5.0;74.0;11.0;3.0;1961.0;33.0;"Responder"
104.0;9.0;11.0;139.0;22.0;5.0;1961.0;33.0;"Responder"
76.0;5.0;6.0;80.0;30.0;7.0;1961.0;33.0;"Responder"
91.0;5.0;6.0;112.0;16.0;4.0;1961.0;33.0;"Responder"
91.0;2.0;2.0;91.0;2.0;1.0;1961.0;33.0;"Non-responder"
57.0;1.0;1.0;57.0;27.0;6.0;1961.0;33.0;"Non-responder"
65.0;1.0;1.0;65.0;24.0;6.0;1961.0;33.0;"Non-responder"
113.0;2.0;2.0;113.0;2.0;1.0;1961.0;33.0;"Non-responder"
84.0;1.0;1.0;84.0;29.0;6.0;1961.0;33.0;"Non-responder"
69.0;2.0;2.0;69.0;7.0;2.0;1961.0;33.0;"Non-responder"
51.0;5.0;5.0;51.0;31.0;7.0;1961.0;33.0;"Non-responder"
81.0;1.0;1.0;81.0;44.0;10.0;1961.0;33.0;"Non-responder"
80.0;1.0;1.0;80.0;6.0;2.0;1961.0;33.0;"Non-responder"
54.0;3.0;3.0;54.0;29.0;6.0;1961.0;33.0;"Non-responder"
76.0;6.0;6.0;76.0;30.0;7.0;1961.0;33.0;"Non-responder"
64.0;1.0;1.0;64.0;23.0;5.0;1961.0;33.0;"Non-responder"
67.0;3.0;3.0;67.0;9.0;3.0;1961.0;33.0;"Non-responder"
95.0;2.0;2.0;95.0;7.0;2.0;1961.0;33.0;"Non-responder"
87.0;4.0;4.0;87.0;8.0;2.0;1961.0;33.0;"Non-responder"
36.0;2.0;2.0;36.0;10.0;3.0;1961.0;33.0;"Non-responder"
51.0;1.0;1.0;51.0;30.0;7.0;1961.0;33.0;"Non-responder"
77.0;1.0;1.0;77.0;8.0;2.0;1961.0;33.0;"Non-responder"
59.0;5.0;5.0;59.0;42.0;10.0;1961.0;33.0;"Non-responder"
25.0;3.0;3.0;25.0;2.0;1.0;1961.0;33.0;"Non-responder"
75.0;1.0;1.0;75.0;16.0;4.0;1961.0;33.0;"Non-responder"
166.0;4.0;4.0;166.0;29.0;6.0;1961.0;33.0;"Non-responder"
59.0;3.0;3.0;59.0;10.0;3.0;1961.0;33.0;"Non-responder"
93.0;3.0;3.0;93.0;11.0;3.0;1961.0;33.0;"Non-responder"
76.0;2.0;2.0;76.0;1.0;1.0;1961.0;33.0;"Non-responder"
80.0;3.0;3.0;80.0;32.0;7.0;1961.0;33.0;"Non-responder"
59.0;4.0;4.0;59.0;27.0;6.0;1961.0;33.0;"Non-responder"
50.0;1.0;1.0;50.0;34.0;8.0;1961.0;33.0;"Non-responder"
89.0;1.0;1.0;89.0;31.0;7.0;1961.0;33.0;"Non-responder"
70.0;1.0;1.0;70.0;34.0;8.0;1961.0;33.0;"Non-responder"
55.0;1.0;1.0;55.0;11.0;3.0;1961.0;33.0;"Non-responder"
64.0;2.0;2.0;64.0;37.0;9.0;1961.0;33.0;"Non-responder"
53.0;4.0;7.0;91.0;41.0;10.0;1960.0;34.0;"Responder"
52.0;5.0;10.0;86.0;31.0;7.0;1960.0;34.0;"Responder"
511.0;6.0;9.0;580.0;41.0;10.0;1960.0;34.0;"Responder"
91.0;8.0;13.0;129.0;2.0;1.0;1960.0;34.0;"Responder"
77.0;7.0;8.0;82.0;3.0;1.0;1960.0;34.0;"Responder"
69.0;3.0;4.0;89.0;10.0;3.0;1960.0;34.0;"Responder"
58.0;3.0;4.0;92.0;6.0;2.0;1960.0;34.0;"Responder"
81.0;1.0;1.0;81.0;10.0;3.0;1960.0;34.0;"Non-responder"
80.0;4.0;4.0;80.0;14.0;4.0;1960.0;34.0;"Non-responder"
83.0;2.0;2.0;83.0;35.0;8.0;1960.0;34.0;"Non-responder"
85.0;3.0;3.0;85.0;36.0;8.0;1960.0;34.0;"Non-responder"
60.0;1.0;1.0;60.0;8.0;2.0;1960.0;34.0;"Non-responder"
70.0;3.0;3.0;70.0;17.0;4.0;1960.0;34.0;"Non-responder"
0.0;0.0;0.0;0.0;20.0;5.0;1960.0;34.0;"Non-responder"
54.0;2.0;2.0;54.0;44.0;10.0;1960.0;34.0;"Non-responder"
91.0;3.0;3.0;91.0;9.0;3.0;1960.0;34.0;"Non-responder"
84.0;5.0;5.0;84.0;10.0;3.0;1960.0;34.0;"Non-responder"
81.0;2.0;2.0;81.0;9.0;3.0;1960.0;34.0;"Non-responder"
52.0;1.0;1.0;52.0;10.0;3.0;1960.0;34.0;"Non-responder"
84.0;7.0;7.0;84.0;10.0;3.0;1960.0;34.0;"Non-responder"
60.0;1.0;1.0;60.0;44.0;10.0;1960.0;34.0;"Non-responder"
81.0;2.0;2.0;81.0;24.0;6.0;1960.0;34.0;"Non-responder"
123.0;7.0;8.0;139.0;39.0;9.0;1960.0;34.0;"Responder"
180.0;11.0;15.0;267.0;3.0;1.0;1960.0;34.0;"Responder"
58.0;4.0;5.0;78.0;4.0;1.0;1960.0;34.0;"Responder"
21.0;2.0;6.0;81.0;7.0;2.0;1960.0;34.0;"Responder"
41.0;11.0;13.0;61.0;43.0;10.0;1960.0;34.0;"Responder"
97.0;6.0;7.0;104.0;12.0;3.0;1960.0;34.0;"Responder"
55.0;1.0;2.0;61.0;8.0;2.0;1960.0;34.0;"Responder"
73.0;7.0;9.0;103.0;48.0;11.0;1960.0;34.0;"Responder"
97.0;3.0;6.0;141.0;10.0;3.0;1960.0;34.0;"Responder"
114.0;3.0;3.0;114.0;2.0;1.0;1960.0;34.0;"Non-responder"
143.0;9.0;9.0;143.0;9.0;3.0;1960.0;34.0;"Non-responder"
93.0;2.0;2.0;93.0;14.0;4.0;1960.0;34.0;"Non-responder"
89.0;10.0;10.0;89.0;10.0;3.0;1960.0;34.0;"Non-responder"
64.0;1.0;1.0;64.0;3.0;1.0;1960.0;34.0;"Non-responder"
79.0;3.0;3.0;79.0;24.0;6.0;1960.0;34.0;"Non-responder"
52.0;2.0;2.0;52.0;39.0;9.0;1960.0;34.0;"Non-responder"
51.0;1.0;1.0;51.0;31.0;7.0;1960.0;34.0;"Non-responder"
61.0;9.0;9.0;61.0;3.0;1.0;1960.0;34.0;"Non-responder"
94.0;4.0;4.0;94.0;11.0;3.0;1960.0;34.0;"Non-responder"
69.0;5.0;5.0;69.0;28.0;6.0;1960.0;34.0;"Non-responder"
86.0;1.0;1.0;86.0;30.0;7.0;1960.0;34.0;"Non-responder"
57.0;2.0;2.0;57.0;30.0;7.0;1960.0;34.0;"Non-responder"
