biacromial,pelvicBreadth,bitrochanteric,chestDepth,chestDiam,elbowDiam,wristDiam,kneeDiam,ankleDiam,age,weight,height
36.2,30.2,31.2,16.8,27.7,11.5,9.4,17.4,13.1,25,54.8,161.2
35.1,28.1,30,17.1,25.2,12,9.6,19,14.2,48,45.9,155
38.8,27.2,33.4,17.2,31.6,12.9,11,18.2,13.4,41,70.6,170
36.4,26.2,32.2,17.3,25.8,13.1,10.1,17.9,12.6,18,67.2,176.2
38.6,24.2,34.4,15.3,29,13.1,10.4,22.1,14.4,30,69.4,170
36.5,26,30.7,15.9,26.8,12.1,10.3,17,12.4,20,58.2,162.5
37.5,27.4,31.2,18.9,26.5,14,11,19.1,13.5,24,64.8,170.3
39.9,20,32.4,17.6,31.9,13.6,10.4,18.5,13.4,23,71.6,164.1
34.4,26.1,30.5,18.8,25.2,12,9.9,17.5,12.7,30,52.8,169.5
38.7,23.5,33,16.4,27.6,12.6,9.9,17.5,12.6,23,59.8,163.2
32.6,24.6,29.4,15.8,25,11.3,9.2,16.9,11.9,45,49,154.5
34.5,25.6,29.2,18,24.2,10.1,9,16.3,11.5,20,50,159.8
36.7,28.2,33,17.5,25.6,12.2,10.1,17.8,13.5,20,69.2,173.2
36.5,27,31.6,16.6,24.4,11.9,9.7,18,12.5,23,55.9,170
34.2,28,31,20.4,25.6,12.4,9.7,18.5,13,21,63.4,161.4
37.8,28.6,30.7,17.3,25.4,11.8,10.6,18.8,13.3,28,58.2,169
35.7,25.5,32.5,16,27.2,11.9,10,18.6,13.6,45,58.6,166.2
33.9,24.3,29.5,15.8,26,11.6,9.4,16.3,11.2,24,45.7,159.4
35.2,24.1,26.9,17.9,23.6,12,9.5,17.5,11.5,25,52.2,162.5
37.1,24.3,28.4,16.2,25.8,12.1,9.8,16.8,12.2,19,48.6,159
37.7,26.2,30.8,17.8,25.2,12.4,10.2,17.2,11.8,20,57.8,162.8
37.8,28.1,30,17.9,24.9,11.1,9.6,18,13.2,29,55.6,159
39.3,24.5,32.3,21.4,29.5,13.4,10.9,18.2,13,24,66.8,179.8
37.2,24.4,29.4,18.1,27.3,12.3,9.9,17.1,12.2,24,59.4,162.9
36.1,26.8,31,16.2,24,11,8.9,17.8,12.2,25,53.6,161
35.2,25.1,33,20,26.6,11.6,9.1,21,12.6,31,73.2,151.1
35.8,27.7,28.9,16.4,25.6,11.5,9.1,17.1,12.3,22,53.4,168.2
35,25.6,32.5,17.9,27,12.6,9.8,18.6,12.9,20,69,168.9
37.8,29.9,31.1,17.3,25.8,10.9,9.4,15.7,11.5,32,58.4,173.2
35.7,27,29.8,16.5,26.2,12.1,9.6,18,13.6,25,56.2,171.8
39.5,29.8,31.5,19.2,25.4,13,10.6,19.1,13.4,19,70.6,178
38.8,26.3,31.5,19,25.9,11.6,9.9,18.8,13.1,23,59.8,164.3
37.9,29,32.9,18.6,27,12.7,10.6,18.2,12.1,22,72,163
37.7,25,30.4,16.6,29.3,12.4,10.2,18.6,12.7,20,65.2,168.5
38.2,25.9,30.2,16.9,24.8,11.7,9.4,16.9,11.7,27,56.6,166.8
40,31,35.8,21.3,33.2,14.1,12.2,24.3,12.9,34,105.2,172.7
35.7,28.3,29.6,17.4,23.3,10.7,8.7,16.8,11.3,25,51.8,163.5
35.7,25.9,29.3,14.7,29.1,13.2,10.9,18.1,13.1,26,63.4,169.4
36,27.6,29,18.6,25,11.8,9.2,18,11.4,19,59,167.8
35,25,27.2,15.4,23.4,10.8,8.7,16.8,12.2,26,47.6,159.5
37,26.9,32.4,16.6,25.4,12.9,10,18.1,13.1,25,63,167.6
36.7,23.5,29.5,17.2,28.3,11.5,9.5,16.1,9.9,20,55.2,161.2
32.8,26.2,26.3,16.1,23.6,10.6,9.2,16.4,11.7,21,45,160
34.8,20.3,31,17.3,26.8,11.6,9.8,17.9,12.4,18,54,163.2
35,23.7,29,15.4,23.6,11.5,9.6,16.6,11.6,19,50.2,162.2
38.7,27.1,31.4,16.5,27.5,12.8,9.2,18.8,12.5,27,60.2,161.3
32.8,20.9,28.2,17.2,22.2,11.3,9.5,16,11.2,26,44.8,149.5
36.7,23,30.8,17,27.6,13.1,11,17,12.9,36,58.8,157.5
38.8,26.5,29.8,17.4,28.2,12,9.4,17.7,12.6,20,56.4,163.2
36.4,24.9,30.8,16.5,26.7,12.4,10.5,18.4,12.8,28,62,172.7
34,27.8,29.6,16.5,24.4,9.9,8.9,17,11.5,32,49.2,155
38.2,27.5,30,20.4,29.2,11.8,9.2,17.8,11.5,32,67.2,156.5
35.1,23.4,30.6,16.2,26.8,12.1,9.4,16.1,12.2,23,53.8,164
36,25.2,28.4,15.4,26.9,11.2,9.9,16.8,12.1,20,54.4,160.9
35.9,25.1,28.2,18.1,26.1,11.6,8.5,16.8,11,20,58,162.8
35,27.1,30.1,19.5,24.9,12.4,9.9,18.2,12.5,20,59.8,167
35.2,24.4,29.8,15.1,26,13,9.2,17.3,12.2,23,54.8,160
34.9,26.2,28.5,14.6,23.5,10.4,8.7,16,11.1,20,43.2,160
36,28.1,31,18.8,27.4,11.5,9.7,17.5,12.8,28,60.5,168.9
36.4,27.7,29.8,17,25,11.2,9,16.9,12.2,23,46.4,158.2
35.5,27.7,30.7,20.6,24.9,11.6,8.9,17.9,11.5,19,64.4,156
34.1,18.7,27.2,16.1,24.6,11.2,9.5,16.1,11.9,28,48.8,160
37.1,25,29.3,17.1,28.1,13,10.9,17.5,13,19,62.2,167.1
35.2,26,30.4,17.3,25.5,11.1,9,17.1,12,29,55.5,158
37.5,26,29.4,17.6,26.5,12.3,10.4,18.3,12.7,32,57.8,167.6
36.3,24.9,31,16.6,27.7,12.5,10,18.1,13,20,54.6,156
37.2,26,28.5,18.8,25,12.3,9.7,18.4,13,28,59.2,162.1
37.6,27.7,30.2,17.4,25.7,12,9.1,17.5,12.1,36,52.7,173.4
33.6,24.3,27.9,18.2,24.7,11,8.4,16.6,11.1,22,53.2,159.8
34.5,29.2,31.9,18.3,23.6,11,9.3,18.7,12.4,20,64.5,170.5
36,27.1,31.4,18.5,24.6,11.9,9.4,15.9,11.9,22,51.8,159.2
35.4,27,29,17.8,25,11.6,9.2,18.2,12.1,32,56,157.5
35.8,28.3,30.2,19.2,24.9,12,9.2,18.4,14.2,40,63.6,161.3
38.3,28.3,32.4,18.7,28.3,13.9,10.6,18.9,14,40,63.2,162.6
33.8,28.7,32.9,17.7,23.5,12.6,9.4,18.2,13.2,42,59.5,160
36.9,31.1,33.8,16.8,26.6,13,9.8,18.4,13.8,40,56.8,168.9
34.9,28,33.1,18,26.1,12.6,9.6,18.8,12.2,44,64.1,165.1
35.1,28.3,29.7,18.2,27.3,13,9.3,17.7,13.8,30,50,162.6
37.4,30.2,34.2,21.6,28.3,13.2,10,19.6,14.1,28,72.3,165.1
36.9,27.5,31.1,16.3,26.6,12.8,9.8,18,14,37,55,166.4
36,28,30.4,16.3,26.4,12.2,9.2,17.6,12.8,40,55.9,160
32.9,26.6,32.2,18.5,25.2,12,8.4,19.4,12,45,60.4,152.4
38.3,31.7,37.4,19.2,28.5,13.2,9.3,18.6,13.8,35,69.1,170.2
37.6,30.7,35.6,24.7,32.2,14,10.6,21.2,14.5,41,84.5,162.6
36.7,28,31.7,17.3,27.3,13.1,10.6,18.4,13.4,27,55.9,170.2
38.9,25.2,31.5,17.3,24.2,12.9,9.8,18,12.8,20,55.5,158.8
37.8,28,32,16.8,28.3,12.7,9.8,18.1,13.2,24,69.5,172.7
38,31.7,32.9,22.3,25.2,12.4,10,19.6,13.8,36,76.4,167.6
38.7,30.4,31.3,18.7,26.8,12.4,10,19.4,13.6,27,61.4,162.6
37.1,27.1,32.6,17.3,26.6,13.2,10.3,19,14.4,32,65.9,167.6
35.8,30.2,33.5,20.6,27.5,12.4,9.4,18.4,13,64,58.6,156.2
38.5,30.4,35.1,18.2,27.3,13.8,10.7,19,14.4,21,66.8,175.2
38.5,30.8,35.1,15.8,27.3,13.1,10.6,18.6,14.2,32,56.6,172.1
36,30.2,32.9,18.7,27.8,12.4,9.6,18.4,14.2,35,58.6,162.6
34,26.4,29.9,19.2,27.5,11.8,9.4,17.3,12.4,41,55.9,160
38.3,26.6,33.3,18.2,26.4,13.1,10.8,20,13.8,40,59.1,165.1
38.7,33.3,33.8,20.9,30.2,14,10.5,18.9,14.8,29,81.8,182.9
36.9,29,33.5,20.9,30.2,12.7,9.6,18.6,14.2,40,70.7,166.4
35.8,26.6,31.1,18.5,24.7,12.4,9.6,17.9,13.8,24,56.8,165.1
36.7,29,32,19.7,25.6,12.4,10,18.6,13,23,60,177.8
36.7,28,31.1,19.4,27.5,12.9,10,17.9,14,41,58.2,165.1
37.6,31.3,33.5,17,25.4,12.4,9.4,19.2,11.5,44,72.7,175.3
35.1,23.7,31.1,18.5,25.9,12.8,10,17.7,12.8,53,54.1,154.9
35.3,23.3,28.3,15.3,24.7,12.4,10.2,17.1,13.4,19,49.1,158.8
38.5,26.6,34,22.3,26.6,13.8,10.7,20,15.5,24,75.9,172.7
37.8,29.4,32.2,15.8,27.5,11.8,9.8,18.2,13.8,25,55,168.9
35.1,25.6,29.9,16.8,24.9,12.6,9.6,18.2,12.5,20,57.3,161.3
32.4,30.2,33.8,15.3,25.6,12.2,10.2,17.9,13.4,34,55,167.6
39.2,31.3,33.8,17.7,29.7,13.2,9.6,17.8,14.4,32,65.5,165.1
38.3,30.8,35.6,17,26.8,13.6,10.4,19,13.6,24,65.5,175.3
32.9,20.9,28.5,19,23,12.2,9.1,16,12.7,29,48.6,157.5
38,28.3,31.1,17.7,26.1,12.2,10.2,17.3,13,31,58.6,163.8
37.8,32,33.8,16.8,26.6,13.4,10.4,18.8,13.4,34,63.6,167.6
34.2,29.2,31.1,18,25.9,12.8,9.8,17.6,13.4,36,55.2,165.1
37.6,31.3,35.3,20.2,27.3,11.3,9.4,18.9,13.8,32,62.7,165.1
35.3,25.4,31.3,17.3,25.4,12.4,10,17.5,13.6,39,56.6,168.9
34.9,27.3,32.2,17.7,25.4,12.6,9,17.4,12.2,37,53.9,162.6
37.4,32,34.7,19.7,25.9,13,10,18.4,13.4,52,63.2,164.5
36.2,31.1,34.7,21.1,26.8,12.9,10.4,18.6,14,24,73.6,176.5
38.9,29,33.1,16.3,25.9,12.2,10.2,18.8,13.8,33,62,168.9
36,30.4,32.9,18.2,24.7,13.4,10.5,19.5,13.6,42,63.6,175.3
33.3,25.9,29.9,18,25.6,12,9.2,17.6,12.9,34,53.2,159.4
37.4,29.4,32.6,19.9,27.1,13.4,10.2,18.4,14.1,37,53.4,160
34.7,29.4,31.5,17.7,24.9,13.4,9.6,18.4,13.4,39,55,170.2
38.7,28,34.7,16.3,28.5,13.6,10.4,20.4,14.3,41,70.5,162.6
36.2,28.3,31.3,16.3,25.4,12.2,9.6,16.8,12.9,36,54.5,167.6
37.6,27.8,31.1,19.9,25.9,12.9,9.6,17.2,13.8,19,54.5,162.6
34.9,26.1,29,16.5,25.6,12,9.2,17.3,13.2,22,55.9,160.7
34.7,24.7,32,17.7,25.2,12.8,10.4,18.4,13.8,23,59,160
34,26.8,32.2,17.3,28.7,11.2,9.1,17.4,12.9,36,63.6,157.5
37.8,28.5,33.5,18,27.1,12.9,10.4,18.6,13.4,45,54.5,162.6
35.1,27.8,30.6,16.3,26.8,11.6,9.6,17.2,12,25,47.3,152.4
39.2,29.9,34.9,18.5,26.4,14.3,10.8,19.6,14.4,67,67.7,170.2
35.1,29.9,35.3,18,28.5,13.8,10.5,20,14.3,26,80.9,165.1
37.1,29.2,32,18,26.1,13.2,10.2,19.2,14.4,21,70.5,172.7
35.8,29.4,30.8,17,26.6,12.2,10.8,17.6,13.4,33,60.9,165.1
35.3,26.8,31.7,18.5,23.3,11.5,9.2,17.8,12.6,25,63.6,170.2
37.6,26.8,31.1,16.5,24,11.8,10.2,18.4,12.8,24,54.5,170.2
35.8,29,30.6,18,24.2,12.4,10.5,17.9,13.4,21,59.1,170.2
36,29.2,33.5,17.5,27.8,11.6,10.5,18.7,14.2,35,70.5,161.3
35.6,28.3,28,14.4,23.7,11.7,9.6,16.4,13,27,52.7,167.6
37.1,27.8,31.7,20.6,26.4,12.4,10.4,18.2,13.2,27,62.7,167.6
35.6,30.2,32.9,21.8,26.8,13,11,20.6,14.3,26,86.3,165.1
35.1,29.4,33.1,17.7,27.3,12.8,10.3,18.7,13.6,25,66.4,162.6
35.8,26.8,30.4,23.3,25.6,12.4,10.3,17.5,13,44,67.3,152.4
37.4,29.4,31.7,16.5,25.9,12.2,10.8,19.4,14.3,29,63,168.9
38.9,28.5,34,19.2,27.5,13.3,10.3,19.1,14.2,26,73.6,170.2
37.4,29,32.9,17.7,23.5,12.7,10,18.2,13.8,23,62.3,175.2
37.6,28.3,29.4,16.8,25.4,13.2,10,17.8,14.2,32,57.7,175.2
35.1,26.6,29.2,17,24.4,11.8,9.4,17,12.2,32,55.4,160
38,33.3,37.8,20.6,28.3,15,11.5,22.6,13.8,43,104.1,165.1
36.7,25.2,29.2,18.5,24.2,12,9,17,11.8,32,55.5,174
35.6,29.9,33.5,18.2,24.9,13.2,11,19.2,13.8,41,77.3,170.2
35.6,30.8,33.8,26.8,27.1,12.4,10.2,18.2,14,33,80.5,160
35.6,27.3,31.7,17.5,27.3,12.4,9.8,17.6,12.7,28,64.5,167.6
37.8,29,32.4,20.6,28.5,12.7,9.1,18.2,13.2,28,72.3,167.6
40.9,28.7,29.2,18.2,27.3,12.9,9.6,16.8,13.4,25,61.4,167.6
34,25.9,29.4,20.2,24.2,11.4,9.6,16.6,12.6,38,58.2,154.9
34.9,31.3,31.7,20.9,31.5,13,9.6,17.8,13.7,37,81.8,162.6
35.8,31.5,32.6,17.5,25.2,12.9,9.8,17.9,13.4,25,63.6,175.3
36.5,27.5,30.8,18.5,24.5,11.6,9.6,17,11.7,37,53.4,171.4
32.9,26.8,28.7,16.3,24.4,11,8.6,16.4,12.6,27,54.5,157.5
36.9,28.5,31.5,15.6,27.8,11.6,9.8,17.2,12.9,27,53.6,165.1
35.8,29.4,32,18,25.9,11.8,9.8,18,12.7,20,60,160
39.4,28.3,30.2,21.6,29.7,12.8,10.5,19.5,14.4,19,73.6,174
36.5,28.3,29.7,17.7,26.4,12,10,17.1,12.8,32,61.4,162.6
35.8,27.3,28.5,18.2,23.5,11.2,10.2,17.5,12.9,26,55.5,174
34.4,29.7,31.7,17.5,24.7,12.6,10.2,17.7,12.4,56,63.6,162.6
36.5,26.6,30.8,16,24.9,12.6,10.7,17,13,23,60.9,161.3
38.5,25.6,31.7,17,25.6,11.8,10.2,16.8,12.9,19,60,156.2
35.3,25.4,28.5,15.1,24.9,10.6,10.4,17,12.6,31,46.8,149.9
36.2,28.7,27.8,16,23.7,12.4,10.2,17.9,13.2,34,57.3,169.5
34.9,28.7,32.9,16.8,26.8,13.4,10.8,17.9,12.9,34,64.1,160
38.7,29.7,32,15.8,26.4,12.8,10.5,18.4,13.8,24,63.6,175.3
37.6,25.2,29,19.2,27.1,14,11,18.9,13.2,22,67.3,169.5
34.7,29.4,33.5,17.7,25.4,12.4,10.8,20.2,12.8,34,75.5,160
37.8,29.7,31.3,18.5,26.6,13.4,11.2,18.4,14.2,30,68.2,172.7
39.8,27.5,31.5,19.4,29,13.1,10.4,17.6,13.8,32,61.4,162.6
36.5,29.7,34,20.2,28.5,13.3,9.8,18.9,12.4,40,76.8,157.5
38,30.4,32.9,17,27.1,12.9,10.4,19.5,14.4,29,71.8,176.5
35.3,28.7,30.4,17.7,25.6,12.4,9.8,17.3,13.6,21,55.5,164.4
34.7,24.9,24.7,17.3,24.2,12,10.2,18,13.6,33,48.6,160.7
38.5,29,32.9,15.3,25.6,12,9.8,18.6,13.3,33,66.4,174
35.6,29,29,20.4,26.8,13.4,10.8,18.7,13.8,38,67.3,163.8
