"Pre-campaign expenditure","Pre-campaign visits","Pre-campaign spend category","Pre-campaign visits category","Total number of visits","Total spend","Post Code","52 Mosaic Groups","Mosaic Bands","Title","Gender","Year Of Birth","Age","Age category","Response to campaign"
60.0,1.0,"£50-£100","1 Visit",1.0,60.0,"GU18 5XZ",1.0,1.0,"MR","Male",1962.0,32.0,"26-35 years","Non-responder"
56.0,1.0,"£50-£100","1 Visit",1.0,56.0,"HD 7 2YZ",44.0,10.0,"MR","Male",1962.0,32.0,"26-35 years","Non-responder"
81.0,1.0,"£50-£100","1 Visit",1.0,81.0,"RG11 5JT",3.0,1.0,"MR","Male",1962.0,32.0,"26-35 years","Non-responder"
74.0,1.0,"£50-£100","1 Visit",1.0,74.0,"TW20 9PH",6.0,2.0,"MR","Male",1962.0,32.0,"26-35 years","Non-responder"
37.0,2.0,"Under £50","2 Visits",2.0,37.0,"SG17 5SG",41.0,10.0,"MR","Male",1962.0,32.0,"26-35 years","Non-responder"
55.0,1.0,"£50-£100","1 Visit",1.0,55.0,"TS20 2PE",8.0,2.0,"MR","Male",1962.0,32.0,"26-35 years","Non-responder"
76.0,3.0,"£50-£100","3 Visits",3.0,76.0,"LD 1 6AG",32.0,7.0,"MR","Male",1962.0,32.0,"26-35 years","Non-responder"
70.0,3.0,"£50-£100","3 Visits",3.0,70.0,"WS 6 7AQ",9.0,3.0,"MR","Male",1962.0,32.0,"26-35 years","Non-responder"
61.0,1.0,"£50-£100","1 Visit",1.0,61.0,"DN36 5BP",6.0,2.0,"MR","Male",1962.0,32.0,"26-35 years","Non-responder"
72.0,1.0,"£50-£100","1 Visit",1.0,72.0,"TF 3 1LU",17.0,4.0,"MR","Male",1962.0,32.0,"26-35 years","Non-responder"
74.0,7.0,"£50-£100","5 Or More Visits",7.0,74.0,"CR 0 4JY",29.0,6.0,"MR","Male",1962.0,32.0,"26-35 years","Non-responder"
89.0,10.0,"£50-£100","5 Or More Visits",10.0,89.0,"CT20 1JF",29.0,6.0,"MR","Male",1962.0,32.0,"26-35 years","Non-responder"
53.0,3.0,"£50-£100","3 Visits",3.0,53.0,"CT18 7NR",44.0,10.0,"MR","Male",1962.0,32.0,"26-35 years","Non-responder"
82.0,2.0,"£50-£100","2 Visits",2.0,82.0,"NW10 4EE",24.0,6.0,"MR","Male",1962.0,32.0,"26-35 years","Non-responder"
70.0,2.0,"£50-£100","2 Visits",2.0,70.0,"M 25 5WF",1.0,1.0,"MR","Male",1962.0,32.0,"26-35 years","Non-responder"
91.0,1.0,"£50-£100","1 Visit",1.0,91.0,"BN17 6HD",39.0,9.0,"MR","Male",1962.0,32.0,"26-35 years","Non-responder"
10.0,2.0,"Under £50","2 Visits",2.0,10.0,"BD20 7HJ",29.0,6.0,"MR","Male",1962.0,32.0,"26-35 years","Non-responder"
72.0,5.0,"£50-£100","5 Or More Visits",5.0,72.0,"L 66 4SX",9.0,3.0,"MR","Male",1962.0,32.0,"26-35 years","Non-responder"
90.0,4.0,"£50-£100","4 Visits",4.0,90.0,"BD20 9LZ",6.0,2.0,"MR","Male",1962.0,32.0,"26-35 years","Non-responder"
97.0,1.0,"£50-£100","1 Visit",1.0,97.0,"RM10 9EU",30.0,7.0,"MR","Male",1962.0,32.0,"26-35 years","Non-responder"
74.0,5.0,"£50-£100","5 Or More Visits",7.0,110.0,"SG 2 8LN",12.0,3.0,"MRS","Female",1961.0,33.0,"26-35 years","Responder"
58.0,2.0,"£50-£100","2 Visits",5.0,285.0,"BS21 6UG",11.0,3.0,"MRS","Female",1961.0,33.0,"26-35 years","Responder"
66.0,9.0,"£50-£100","5 Or More Visits",10.0,82.0,"PL31 2NZ",2.0,1.0,"MISS","Female",1961.0,33.0,"26-35 years","Responder"
119.0,7.0,"£100-£150","5 Or More Visits",10.0,144.0,"KT13 0RY",7.0,2.0,"MS","Female",1961.0,33.0,"26-35 years","Responder"
57.0,5.0,"£50-£100","5 Or More Visits",8.0,112.0,"HR 1 1AN",11.0,3.0,"MISS","Female",1961.0,33.0,"26-35 years","Responder"
112.0,4.0,"£100-£150","4 Visits",5.0,129.0,"PL21 0BY",44.0,10.0,"MRS","Female",1961.0,33.0,"26-35 years","Responder"
75.0,3.0,"£50-£100","3 Visits",4.0,80.0,"OX 3 9DL",7.0,2.0,"MS","Female",1961.0,33.0,"26-35 years","Responder"
83.0,2.0,"£50-£100","2 Visits",4.0,122.0,"L 39 4SD",31.0,7.0,"MRS","Female",1961.0,33.0,"26-35 years","Responder"
92.0,1.0,"£50-£100","1 Visit",1.0,92.0,"LE 9 7BQ",20.0,5.0,"MRS","Female",1961.0,33.0,"26-35 years","Non-responder"
108.0,8.0,"£100-£150","5 Or More Visits",8.0,108.0,"SS15 6AY",39.0,9.0,"MRS","Female",1961.0,33.0,"26-35 years","Non-responder"
55.0,1.0,"£50-£100","1 Visit",1.0,55.0,"WF15 7AD",20.0,5.0,"MRS","Female",1961.0,33.0,"26-35 years","Non-responder"
0.0,0.0,"Under £50","No Visits",0.0,0.0,"WF17 7TN",17.0,4.0,"MRS","Female",1961.0,33.0,"26-35 years","Non-responder"
55.0,4.0,"£50-£100","4 Visits",4.0,55.0,"TN24 8PR",31.0,7.0,"MRS","Female",1961.0,33.0,"26-35 years","Non-responder"
75.0,2.0,"£50-£100","2 Visits",2.0,75.0,"SG19 2LU",7.0,2.0,"MISS","Female",1961.0,33.0,"26-35 years","Non-responder"
70.0,2.0,"£50-£100","2 Visits",2.0,70.0,"L 22 4QZ",30.0,7.0,"MS","Female",1961.0,33.0,"26-35 years","Non-responder"
57.0,2.0,"£50-£100","2 Visits",2.0,57.0,"NW 6 1NP",33.0,8.0,"MS","Female",1961.0,33.0,"26-35 years","Non-responder"
87.0,4.0,"£50-£100","4 Visits",4.0,87.0,"SW16 4TZ",30.0,7.0,"MISS","Female",1961.0,33.0,"26-35 years","Non-responder"
58.0,5.0,"£50-£100","5 Or More Visits",5.0,58.0,"PE 6 8LA",17.0,4.0,"MISS","Female",1961.0,33.0,"26-35 years","Non-responder"
89.0,2.0,"£50-£100","2 Visits",2.0,89.0,"SR 2 0NT",15.0,4.0,"MRS","Female",1961.0,33.0,"26-35 years","Non-responder"
93.0,2.0,"£50-£100","2 Visits",2.0,93.0,"PE 6 8QS",2.0,1.0,"MRS","Female",1961.0,33.0,"26-35 years","Non-responder"
51.0,3.0,"£50-£100","3 Visits",3.0,51.0,"YO 8 0JL",10.0,3.0,"MRS","Female",1961.0,33.0,"26-35 years","Non-responder"
57.0,2.0,"£50-£100","2 Visits",2.0,57.0,"B 77 1LW",44.0,10.0,"MRS","Female",1961.0,33.0,"26-35 years","Non-responder"
62.0,1.0,"£50-£100","1 Visit",1.0,62.0,"EN 3 7RJ",43.0,10.0,"MRS","Female",1961.0,33.0,"26-35 years","Non-responder"
163.0,5.0,"£150-£200","5 Or More Visits",5.0,163.0,"ME10 3NW",17.0,4.0,"MRS","Female",1961.0,33.0,"26-35 years","Non-responder"
55.0,2.0,"£50-£100","2 Visits",2.0,55.0,"L 26 7YX",44.0,10.0,"MRS","Female",1961.0,33.0,"26-35 years","Non-responder"
148.0,11.0,"£100-£150","5 Or More Visits",15.0,167.0,"OX 2 9HL",8.0,2.0,"Mr","Male",1961.0,33.0,"26-35 years","Responder"
102.0,12.0,"£100-£150","5 Or More Visits",13.0,106.0,"SG 2 8UR",42.0,10.0,"Mr","Male",1961.0,33.0,"26-35 years","Responder"
333.0,21.0,"£300-£500","5 Or More Visits",23.0,364.0,"PE30 4DA",31.0,7.0,"Mr","Male",1961.0,33.0,"26-35 years","Responder"
92.0,8.0,"£50-£100","5 Or More Visits",9.0,102.0,"NR31 0PS",29.0,6.0,"MR","Male",1961.0,33.0,"26-35 years","Responder"
75.0,9.0,"£50-£100","5 Or More Visits",11.0,75.0,"BS20 0HR",7.0,2.0,"MR","Male",1961.0,33.0,"26-35 years","Responder"
73.0,12.0,"£50-£100","5 Or More Visits",13.0,80.0,"SL 4 4HF",8.0,2.0,"MR","Male",1961.0,33.0,"26-35 years","Responder"
90.0,3.0,"£50-£100","3 Visits",4.0,175.0,"BA12 8NB",11.0,3.0,"MR","Male",1961.0,33.0,"26-35 years","Responder"
69.0,4.0,"£50-£100","4 Visits",8.0,134.0,"NG 7 7GJ",29.0,6.0,"MR","Male",1961.0,33.0,"26-35 years","Responder"
59.0,2.0,"£50-£100","2 Visits",4.0,118.0,"OL 4 1QQ",12.0,3.0,"MR","Male",1961.0,33.0,"26-35 years","Responder"
82.0,5.0,"£50-£100","5 Or More Visits",12.0,171.0,"LE 9 5QA",44.0,10.0,"MR","Male",1961.0,33.0,"26-35 years","Responder"
72.0,4.0,"£50-£100","4 Visits",5.0,74.0,"B 77 1AJ",11.0,3.0,"MR","Male",1961.0,33.0,"26-35 years","Responder"
104.0,9.0,"£100-£150","5 Or More Visits",11.0,139.0,"DN15 6QA",22.0,5.0,"MR","Male",1961.0,33.0,"26-35 years","Responder"
76.0,5.0,"£50-£100","5 Or More Visits",6.0,80.0,"TS 5 4RE",30.0,7.0,"MR","Male",1961.0,33.0,"26-35 years","Responder"
91.0,5.0,"£50-£100","5 Or More Visits",6.0,112.0,"WA 7 6BN",16.0,4.0,"MR","Male",1961.0,33.0,"26-35 years","Responder"
91.0,2.0,"£50-£100","2 Visits",2.0,91.0,"LE13 1PL",2.0,1.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
57.0,1.0,"£50-£100","1 Visit",1.0,57.0,"CV11 5NY",27.0,6.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
65.0,1.0,"£50-£100","1 Visit",1.0,65.0,"SE 4 1SA",24.0,6.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
113.0,2.0,"£100-£150","2 Visits",2.0,113.0,"CM 2 6QD",2.0,1.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
84.0,1.0,"£50-£100","1 Visit",1.0,84.0,"NG10 4LR",29.0,6.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
69.0,2.0,"£50-£100","2 Visits",2.0,69.0,"OX 2 9AH",7.0,2.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
51.0,5.0,"£50-£100","5 Or More Visits",5.0,51.0,"NE15 6QJ",31.0,7.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
81.0,1.0,"£50-£100","1 Visit",1.0,81.0,"B 98 0JF",44.0,10.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
80.0,1.0,"£50-£100","1 Visit",1.0,80.0,"LA 7 7DR",6.0,2.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
54.0,3.0,"£50-£100","3 Visits",3.0,54.0,"LS13 3NF",29.0,6.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
76.0,6.0,"£50-£100","5 Or More Visits",6.0,76.0,"ME15 7QX",30.0,7.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
64.0,1.0,"£50-£100","1 Visit",1.0,64.0,"W  3 8SP",23.0,5.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
67.0,3.0,"£50-£100","3 Visits",3.0,67.0,"BS20 8PH",9.0,3.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
95.0,2.0,"£50-£100","2 Visits",2.0,95.0,"KT 3 4AS",7.0,2.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
87.0,4.0,"£50-£100","4 Visits",4.0,87.0,"KT17 2HJ",8.0,2.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
36.0,2.0,"Under £50","2 Visits",2.0,36.0,"NN15 6NY",10.0,3.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
51.0,1.0,"£50-£100","1 Visit",1.0,51.0,"EN 2 6JN",30.0,7.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
77.0,1.0,"£50-£100","1 Visit",1.0,77.0,"GU12 6SJ",8.0,2.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
59.0,5.0,"£50-£100","5 Or More Visits",5.0,59.0,"L 21 9NJ",42.0,10.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
25.0,3.0,"Under £50","3 Visits",3.0,25.0,"NN13 6HS",2.0,1.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
75.0,1.0,"£50-£100","1 Visit",1.0,75.0,"DH 5 9QW",16.0,4.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
166.0,4.0,"£150-£200","4 Visits",4.0,166.0,"M 19 2FE",29.0,6.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
59.0,3.0,"£50-£100","3 Visits",3.0,59.0,"WN 3 5RA",10.0,3.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
93.0,3.0,"£50-£100","3 Visits",3.0,93.0,"CV 2 1AY",11.0,3.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
76.0,2.0,"£50-£100","2 Visits",2.0,76.0,"KT10 0TG",1.0,1.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
80.0,3.0,"£50-£100","3 Visits",3.0,80.0,"CR 8 2QB",32.0,7.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
59.0,4.0,"£50-£100","4 Visits",4.0,59.0,"LU 4 8SF",27.0,6.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
50.0,1.0,"£50-£100","1 Visit",1.0,50.0,"SW 3 3PP",34.0,8.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
89.0,1.0,"£50-£100","1 Visit",1.0,89.0,"L 60 5SU",31.0,7.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
70.0,1.0,"£50-£100","1 Visit",1.0,70.0,"CM14 5BU",34.0,8.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
55.0,1.0,"£50-£100","1 Visit",1.0,55.0,"WF16 9LZ",11.0,3.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
64.0,2.0,"£50-£100","2 Visits",2.0,64.0,"CV34 6HR",37.0,9.0,"MR","Male",1961.0,33.0,"26-35 years","Non-responder"
53.0,4.0,"£50-£100","4 Visits",7.0,91.0,"PO 1 3RP",41.0,10.0,"MRS","Female",1960.0,34.0,"26-35 years","Responder"
52.0,5.0,"£50-£100","5 Or More Visits",10.0,86.0,"TN 6 2DN",31.0,7.0,"MRS","Female",1960.0,34.0,"26-35 years","Responder"
511.0,6.0,"Over £500","5 Or More Visits",9.0,580.0,"L 66 4XZ",41.0,10.0,"MRS","Female",1960.0,34.0,"26-35 years","Responder"
91.0,8.0,"£50-£100","5 Or More Visits",13.0,129.0,"GU16 5SU",2.0,1.0,"MRS","Female",1960.0,34.0,"26-35 years","Responder"
77.0,7.0,"£50-£100","5 Or More Visits",8.0,82.0,"MK44 1NP",3.0,1.0,"MRS","Female",1960.0,34.0,"26-35 years","Responder"
69.0,3.0,"£50-£100","3 Visits",4.0,89.0,"BA20 2DB",10.0,3.0,"MRS","Female",1960.0,34.0,"26-35 years","Responder"
58.0,3.0,"£50-£100","3 Visits",4.0,92.0,"BB 6 9EH",6.0,2.0,"MRS","Female",1960.0,34.0,"26-35 years","Responder"
81.0,1.0,"£50-£100","1 Visit",1.0,81.0,"PR 2 1SR",10.0,3.0,"MRS","Female",1960.0,34.0,"26-35 years","Non-responder"
80.0,4.0,"£50-£100","4 Visits",4.0,80.0,"CM 1 2BS",14.0,4.0,"MRS","Female",1960.0,34.0,"26-35 years","Non-responder"
83.0,2.0,"£50-£100","2 Visits",2.0,83.0,"OX 1 4RU",35.0,8.0,"MS","Female",1960.0,34.0,"26-35 years","Non-responder"
85.0,3.0,"£50-£100","3 Visits",3.0,85.0,"BS 3 1AX",36.0,8.0,"MRS","Female",1960.0,34.0,"26-35 years","Non-responder"
60.0,1.0,"£50-£100","1 Visit",1.0,60.0,"L 45 3JS",8.0,2.0,"MRS","Female",1960.0,34.0,"26-35 years","Non-responder"
70.0,3.0,"£50-£100","3 Visits",3.0,70.0,"B 77 4JY",17.0,4.0,"MRS","Female",1960.0,34.0,"26-35 years","Non-responder"
0.0,0.0,"Under £50","No Visits",0.0,0.0,"NN14 2AQ",20.0,5.0,"MRS","Female",1960.0,34.0,"26-35 years","Non-responder"
54.0,2.0,"£50-£100","2 Visits",2.0,54.0,"LS25 2JT",44.0,10.0,"MRS","Female",1960.0,34.0,"26-35 years","Non-responder"
91.0,3.0,"£50-£100","3 Visits",3.0,91.0,"S 44 6PT",9.0,3.0,"MRS","Female",1960.0,34.0,"26-35 years","Non-responder"
84.0,5.0,"£50-£100","5 Or More Visits",5.0,84.0,"B 34 6EB",10.0,3.0,"MRS","Female",1960.0,34.0,"26-35 years","Non-responder"
81.0,2.0,"£50-£100","2 Visits",2.0,81.0,"OL 4 4NP",9.0,3.0,"MRS","Female",1960.0,34.0,"26-35 years","Non-responder"
52.0,1.0,"£50-£100","1 Visit",1.0,52.0,"WV11 1LT",10.0,3.0,"MISS","Female",1960.0,34.0,"26-35 years","Non-responder"
84.0,7.0,"£50-£100","5 Or More Visits",7.0,84.0,"TF10 7JU",10.0,3.0,"MRS","Female",1960.0,34.0,"26-35 years","Non-responder"
60.0,1.0,"£50-£100","1 Visit",1.0,60.0,"YO 8 0XT",44.0,10.0,"MRS","Female",1960.0,34.0,"26-35 years","Non-responder"
81.0,2.0,"£50-£100","2 Visits",2.0,81.0,"HA 7 1ET",24.0,6.0,"MISS","Female",1960.0,34.0,"26-35 years","Non-responder"
123.0,7.0,"£100-£150","5 Or More Visits",8.0,139.0,"CT12 6DL",39.0,9.0,"Mr","Male",1960.0,34.0,"26-35 years","Responder"
180.0,11.0,"£150-£200","5 Or More Visits",15.0,267.0,"CM23 5RD",3.0,1.0,"MR","Male",1960.0,34.0,"26-35 years","Responder"
58.0,4.0,"£50-£100","4 Visits",5.0,78.0,"BS18 9EX",4.0,1.0,"MR","Male",1960.0,34.0,"26-35 years","Responder"
21.0,2.0,"Under £50","2 Visits",6.0,81.0,"GU15 3BH",7.0,2.0,"MR","Male",1960.0,34.0,"26-35 years","Responder"
41.0,11.0,"Under £50","5 Or More Visits",13.0,61.0,"SY 3 5JA",43.0,10.0,"MR","Male",1960.0,34.0,"26-35 years","Responder"
97.0,6.0,"£50-£100","5 Or More Visits",7.0,104.0,"SK13 8NG",12.0,3.0,"MR","Male",1960.0,34.0,"26-35 years","Responder"
55.0,1.0,"£50-£100","1 Visit",2.0,61.0,"ST16 3JX",8.0,2.0,"MR","Male",1960.0,34.0,"26-35 years","Responder"
73.0,7.0,"£50-£100","5 Or More Visits",9.0,103.0,"DN14 9NR",48.0,11.0,"MR","Male",1960.0,34.0,"26-35 years","Responder"
97.0,3.0,"£50-£100","3 Visits",6.0,141.0,"L 62 2DQ",10.0,3.0,"MR","Male",1960.0,34.0,"26-35 years","Responder"
114.0,3.0,"£100-£150","3 Visits",3.0,114.0,"LE 8 3YQ",2.0,1.0,"Mr","Male",1960.0,34.0,"26-35 years","Non-responder"
143.0,9.0,"£100-£150","5 Or More Visits",9.0,143.0,"TN24 0JP",9.0,3.0,"Mr","Male",1960.0,34.0,"26-35 years","Non-responder"
93.0,2.0,"£50-£100","2 Visits",2.0,93.0,"HP21 8JH",14.0,4.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
89.0,10.0,"£50-£100","5 Or More Visits",10.0,89.0,"S 44 5NG",10.0,3.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
64.0,1.0,"£50-£100","1 Visit",1.0,64.0,"LE65 1DZ",3.0,1.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
79.0,3.0,"£50-£100","3 Visits",3.0,79.0,"N 17 7PJ",24.0,6.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
52.0,2.0,"£50-£100","2 Visits",2.0,52.0,"SL 4 6NP",39.0,9.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
51.0,1.0,"£50-£100","1 Visit",1.0,51.0,"SP 4 8BE",31.0,7.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
61.0,9.0,"£50-£100","5 Or More Visits",9.0,61.0,"TN 6 3BE",3.0,1.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
94.0,4.0,"£50-£100","4 Visits",4.0,94.0,"LS13 4HP",11.0,3.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
69.0,5.0,"£50-£100","5 Or More Visits",5.0,69.0,"BD13 2ES",28.0,6.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
86.0,1.0,"£50-£100","1 Visit",1.0,86.0,"M 25 6QA",30.0,7.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
57.0,2.0,"£50-£100","2 Visits",2.0,57.0,"SK13 8EQ",30.0,7.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
58.0,4.0,"£50-£100","4 Visits",4.0,58.0,"HG 1 4SJ",7.0,2.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
74.0,3.0,"£50-£100","3 Visits",3.0,74.0,"CV37 9JB",42.0,10.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
80.0,1.0,"£50-£100","1 Visit",1.0,80.0,"DN15 9UE",9.0,3.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
53.0,3.0,"£50-£100","3 Visits",3.0,53.0,"NN15 5NX",10.0,3.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
61.0,1.0,"£50-£100","1 Visit",1.0,61.0,"NN15 5DX",9.0,3.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
51.0,1.0,"£50-£100","1 Visit",1.0,51.0,"NW11 0DH",36.0,8.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
73.0,3.0,"£50-£100","3 Visits",3.0,73.0,"UB 7 8LS",9.0,3.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
66.0,4.0,"£50-£100","4 Visits",4.0,66.0,"ST20 0HR",10.0,3.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
74.0,1.0,"£50-£100","1 Visit",1.0,74.0,"SY 1 4QD",16.0,4.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
60.0,1.0,"£50-£100","1 Visit",1.0,60.0,"SY 1 4LG",31.0,7.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
69.0,1.0,"£50-£100","1 Visit",1.0,69.0,"WV11 2TB",11.0,3.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
85.0,2.0,"£50-£100","2 Visits",2.0,85.0,"SY 5 0PF",50.0,11.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
62.0,2.0,"£50-£100","2 Visits",2.0,62.0,"NG33 5RA",20.0,5.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
66.0,3.0,"£50-£100","3 Visits",3.0,66.0,"HU 8 9HW",30.0,7.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
68.0,1.0,"£50-£100","1 Visit",1.0,68.0,"UB 6 7EN",30.0,7.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
76.0,1.0,"£50-£100","1 Visit",1.0,76.0,"HA 9 7JA",24.0,6.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
53.0,1.0,"£50-£100","1 Visit",1.0,53.0,"NR12 8TU",5.0,1.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
78.0,2.0,"£50-£100","2 Visits",2.0,78.0,"RM10 7AY",18.0,5.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
100.0,4.0,"£100-£150","4 Visits",4.0,100.0,"NN 4 9EA",29.0,6.0,"MR","Male",1960.0,34.0,"26-35 years","Non-responder"
62.0,5.0,"£50-£100","5 Or More Visits",6.0,71.0,"B 48 7LZ",8.0,2.0,"MRS","Female",1959.0,35.0,"26-35 years","Responder"
70.0,6.0,"£50-£100","5 Or More Visits",7.0,83.0,"B 78 3NJ",13.0,4.0,"MRS","Female",1959.0,35.0,"26-35 years","Responder"
95.0,3.0,"£50-£100","3 Visits",4.0,100.0,"BD22 6HG",18.0,5.0,"MRS","Female",1959.0,35.0,"26-35 years","Responder"
94.0,4.0,"£50-£100","4 Visits",5.0,101.0,"PL 7 3JP",9.0,3.0,"MRS","Female",1959.0,35.0,"26-35 years","Responder"
80.0,1.0,"£50-£100","1 Visit",1.0,80.0,"M 29 8JH",10.0,3.0,"MRS","Female",1959.0,35.0,"26-35 years","Non-responder"
63.0,2.0,"£50-£100","2 Visits",2.0,63.0,"HU10 6BJ",42.0,10.0,"MRS","Female",1959.0,35.0,"26-35 years","Non-responder"
54.0,3.0,"£50-£100","3 Visits",3.0,54.0,"CV10 8NN",17.0,4.0,"MRS","Female",1959.0,35.0,"26-35 years","Non-responder"
74.0,1.0,"£50-£100","1 Visit",1.0,74.0,"SE20 8TD",24.0,6.0,"MRS","Female",1959.0,35.0,"26-35 years","Non-responder"
74.0,2.0,"£50-£100","2 Visits",2.0,74.0,"SA73 1TT",13.0,4.0,"MRS","Female",1959.0,35.0,"26-35 years","Non-responder"
61.0,1.0,"£50-£100","1 Visit",1.0,61.0,"RH16 3TZ",43.0,10.0,"MRS","Female",1959.0,35.0,"26-35 years","Non-responder"
66.0,3.0,"£50-£100","3 Visits",3.0,66.0,"LS12 5LU",11.0,3.0,"MRS","Female",1959.0,35.0,"26-35 years","Non-responder"
66.0,2.0,"£50-£100","2 Visits",2.0,66.0,"BB10 4EQ",12.0,3.0,"MISS","Female",1959.0,35.0,"26-35 years","Non-responder"
74.0,4.0,"£50-£100","4 Visits",4.0,74.0,"YO 3 4UH",2.0,1.0,"MRS","Female",1959.0,35.0,"26-35 years","Non-responder"
63.0,1.0,"£50-£100","1 Visit",1.0,63.0,"SW15 5PF",40.0,9.0,"MS","Female",1959.0,35.0,"26-35 years","Non-responder"
69.0,1.0,"£50-£100","1 Visit",1.0,69.0,"PO 4 0AD",29.0,6.0,"MISS","Female",1959.0,35.0,"26-35 years","Non-responder"
50.0,1.0,"£50-£100","1 Visit",1.0,50.0,"AL10 9EJ",43.0,10.0,"MISS","Female",1959.0,35.0,"26-35 years","Non-responder"
31.0,3.0,"Under £50","3 Visits",3.0,31.0,"GU14 0PA",2.0,1.0,"MS","Female",1959.0,35.0,"26-35 years","Non-responder"
99.0,3.0,"£50-£100","3 Visits",3.0,99.0,"LL77 7JB",16.0,4.0,"MRS","Female",1959.0,35.0,"26-35 years","Non-responder"
53.0,2.0,"£50-£100","2 Visits",2.0,53.0,"LL77 7TY",39.0,9.0,"MS","Female",1959.0,35.0,"26-35 years","Non-responder"
89.0,4.0,"£50-£100","4 Visits",4.0,89.0,"NW 2 4JD",24.0,6.0,"MISS","Female",1959.0,35.0,"26-35 years","Non-responder"
12.0,2.0,"Under £50","2 Visits",2.0,12.0,"N  2 0AS",1.0,1.0,"MRS","Female",1959.0,35.0,"26-35 years","Non-responder"
60.0,4.0,"£50-£100","4 Visits",4.0,60.0,"CR 0 4JR",30.0,7.0,"MISS","Female",1959.0,35.0,"26-35 years","Non-responder"
73.0,2.0,"£50-£100","2 Visits",2.0,73.0,"TF11 8UB",42.0,10.0,"MRS","Female",1959.0,35.0,"26-35 years","Non-responder"
78.0,2.0,"£50-£100","2 Visits",2.0,78.0,"TS24 0UD",29.0,6.0,"MRS","Female",1959.0,35.0,"26-35 years","Non-responder"
68.0,3.0,"£50-£100","3 Visits",3.0,68.0,"BB 4 8QL",37.0,9.0,"MRS","Female",1959.0,35.0,"26-35 years","Non-responder"
94.0,2.0,"£50-£100","2 Visits",2.0,94.0,"NE 5 4AR",18.0,5.0,"MRS","Female",1959.0,35.0,"26-35 years","Non-responder"
